address,square_feet,land_area,year_built,property_class,use_type,market_value
4340 S DAMEN CHICAGO,99840.0,320723.0,1966,"5-80, 5-93, 5-93, 5-93, 5-80, 5-80, 5-80",Industrial-Storage Warehouses,6342000.0
4320 W 71ST CHICAGO,25518.0,376121.0,1966,5-93,Industrial-Truck Parking,4135000.0
1111 W 40TH CHICAGO,62000.0,93236.0,1966,5-93,Industrial-Light Manufacturing,3818000.0
2122 W 80TH CHICAGO,2080.0,6000.0,1966,"5-93, 5-93",Industrial-Storage Warehouses,86000.0
3801 W 44TH CHICAGO,34606.0,66647.0,1966,5-93,Industrial-Storage Warehouses,1799000.0
4630 W 55TH CHICAGO,222064.0,447694.0,1959,"5-80, 5-93",Industrial-Heavy (Process) Manufacturing,10388000
4051 W 51ST CHICAGO,70086.0,122399.0,1966,5-93,Industrial-Light Manufacturing,2428000.0
4334 S KNOX CHICAGO,38823.0,33287.0,1966,"5-93, 5-93",Industrial-Storage Warehouses,2018000.0
4419 S TRIPP CHICAGO,19947.0,46304.0,1966,"5-80, 5-93, 5-80, 5-80",Industrial-Light Manufacturing,1140000.0
4419 S TRIPP CHICAGO,19130.0,42800.0,1966,"5-80, 5-93, 5-80",Industrial-Storage Warehouses,1094000.0
4404 S KILDARE CHICAGO,38416.0,55312.0,1966,5-93,Industrial-Light Manufacturing,1997000.0
4515 W 44TH CHICAGO,14700.0,67837.0,1966,5-93,Industrial-Storage Warehouses,1225000.0
4801 S KNOX CHICAGO,15120.0,15110.0,1966,5-93,Industrial-Storage Warehouses,864000.0
3550 W 48TH CHICAGO,2816.0,75341.0,1966,"5-80, 5-80, 5-93",Industrial-Utility NonEnergy Production,873000.0
6137 S SAYRE CHICAGO,20600.0,39780.0,1966,"5-93, 5-80",Industrial-Storage Warehouses,1071000.0
4427 W 71ST CHICAGO,2176.0,34480.0,1966,5-93,Industrial-Utility NonEnergy Production,392000.0
4000 S MORGAN CHICAGO,72774.0,217800.0,1966,5-93,Industrial-Storage Warehouses,4482000.0
